Image,Rights,Caption
urn:cite:ecod:codsang570.csg-0570_001,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 1r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 1."
urn:cite:ecod:codsang570.csg-0570_002,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 2r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 2."
urn:cite:ecod:codsang570.csg-0570_003,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 3r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 3."
urn:cite:ecod:codsang570.csg-0570_004,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 4r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 4."
urn:cite:ecod:codsang570.csg-0570_005,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 5r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 5."
urn:cite:ecod:codsang570.csg-0570_006,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 6r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 6."
urn:cite:ecod:codsang570.csg-0570_007,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 7r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 7."
urn:cite:ecod:codsang570.csg-0570_008,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 8r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 8."
urn:cite:ecod:codsang570.csg-0570_009,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 9r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 9."
urn:cite:ecod:codsang570.csg-0570_010,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 10r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 10."
urn:cite:ecod:codsang570.csg-0570_011,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 11r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 11."
urn:cite:ecod:codsang570.csg-0570_012,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 12r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 12."
urn:cite:ecod:codsang570.csg-0570_013,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 13r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 13."
urn:cite:ecod:codsang570.csg-0570_014,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 14r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 14."
urn:cite:ecod:codsang570.csg-0570_015,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 15r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 15."
urn:cite:ecod:codsang570.csg-0570_016,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 16r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 16."
urn:cite:ecod:codsang570.csg-0570_017,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 17r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 17."
urn:cite:ecod:codsang570.csg-0570_018,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 18r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 18."
urn:cite:ecod:codsang570.csg-0570_019,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 19r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 19."
urn:cite:ecod:codsang570.csg-0570_020,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 20r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 20."
urn:cite:ecod:codsang570.csg-0570_021,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 21r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 21."
urn:cite:ecod:codsang570.csg-0570_022,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 22r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 22."
urn:cite:ecod:codsang570.csg-0570_023,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 23r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 23."
urn:cite:ecod:codsang570.csg-0570_024,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 24r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 24."
urn:cite:ecod:codsang570.csg-0570_025,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 25r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 25."
urn:cite:ecod:codsang570.csg-0570_026,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 26r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 26."
urn:cite:ecod:codsang570.csg-0570_027,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 27r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 27."
urn:cite:ecod:codsang570.csg-0570_028,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 28r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 28."
urn:cite:ecod:codsang570.csg-0570_029,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 29r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 29."
urn:cite:ecod:codsang570.csg-0570_030,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 30r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 30."
urn:cite:ecod:codsang570.csg-0570_031,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 31r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 31."
urn:cite:ecod:codsang570.csg-0570_032,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 32r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 32."
urn:cite:ecod:codsang570.csg-0570_033,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 33r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 33."
urn:cite:ecod:codsang570.csg-0570_034,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 34r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 34."
urn:cite:ecod:codsang570.csg-0570_035,"This image is available under the terms of a Creative Commons license (CC BY-NC 3.0).  Any reuse must include the following attribution: St. Gallen, Stiftsbibliothek, Cod. Sang. 570, f. 35r (www.e-codices.unifr.ch).","St. Gallen, Stiftsbibliothek, Cod. Sang. 570, page 35."
